id,organization,fellowship,url,area,type,funded,duration_months,opens,deadline,next_cohort,flag,description,terms,contact,notes,added,source
ai-governance-networ-junior-ai-governance-fellowshi-000,AI Governance Network (AIGN.Global),Junior AI Governance Fellowship,https://aign.global/junior-ai-governance-fellowship/,AI Policy,Research Fellowships,No,,Rolling,Rolling,Rolling,,Early-career fellowship introducing participants to AI governance research and policy practice internationally.,Early-career; international eligible,info@aign.global,Early-career; international eligibility,2026-06-03,seed
mozilla-foundation-mozilla-fellowship-001,Mozilla Foundation,Mozilla Fellowship,,AI Policy,Research Fellowships,Yes,12,Early 2027,Verify (2027),2027 cohort,,"Twelve-month funded fellowship supporting technologists and researchers building public-interest tech projects (trustworthy AI, privacy, open infrastructure).",Nomination-based (self-nomination allowed); global; project-based,,"Nomination-based (self-nominations welcome), funded, up to 10 fellows globally; trustworthy-AI / public-interest tech. 2026 cycle CLOSED (nominations ended Jan 30, 2026; appointments announced June 2026). Next nominations open early 2027 — watch the page. https://www.mozillafoundation.org/en/what-we-do/grantmaking/fellowship/",2026-06-03,seed
russell-sage-foundat-sheldon-danziger-pipeline-gran-002,Russell Sage Foundation (RSF),Sheldon Danziger Pipeline Grants Competition,https://www.russellsage.org/sheldon-danziger-pipeline-grants-competition,Public Policy,Dissertation Fellowship,Yes,,Oct 21,Verify,,,Grants supporting early-career post-PhD scholars from underrepresented backgrounds.,Post-PhD early-career only,info@rsage.org,Post-PhD early-career scholars only,2026-06-03,seed
schmidt-sciences-ai2050-early-career-fellowship-003,Schmidt Sciences,AI2050 Early Career Fellowship,https://www.schmidtsciences.org/ai2050/,AI Policy,Research Fellowships,Yes,,Unknown,Verify,,,Multidisciplinary fellowship funding postdoctoral and pre-tenure researchers tackling hard AI problems.,Postdoctoral/pre-tenure; post-defense,info@ai2050.org,For postdoctoral and pre-tenure researchers; multidisciplinary AI; up to $5.5M cohort funding; post-defense target,2026-06-03,seed
spencer-foundation-small-large-research-grants-004,Spencer Foundation,Small & Large Research Grants,https://www.spencer.org/grants,Education,Research Fellowships,Yes,,Unknown,Verify,,,Research grants funding faculty-led education-research projects of varying scale.,Faculty PI required,info@spencer.org,Faculty PI required; post-PhD horizon target,2026-06-03,seed
william-t-grant-fou-institutional-challenge-grant-005,William T. Grant Foundation,Institutional Challenge Grant,https://wtgrantfoundation.org/funding/institutional-challenge-grant,Public Policy,Research Fellowships,Yes,,Unknown,Verify,,,Grant funding university-research-practice partnerships that reduce inequality in youth outcomes.,Institutional applicant; faculty PI required,info@wtgrantfdn.org,Institutional applicant; faculty PI required,2026-06-03,seed
faith-and-politics-i-john-robert-lewis-scholars-f-006,Faith and Politics Institute,John Robert Lewis Scholars & Fellows Program,,Public Policy,Professional Fellowships,Yes,12,Sep 7,Verify,Sep 1,,"Leadership fellowship developing emerging civic leaders through trips, education, and an oral-history project.",US citizen/PR; 18+; current or recent (<24mo) student; full participation required,info@faithandpolitics.org,"The John Robert Lewis Scholars & Fellows Program. Applications for Cohort 7 open September 2026. Program runs July 2026�July 2027 with a $2,000 stipend. Eligibility: US citizen or permanent resident; 18+; current undergraduate/graduate/seminary student or within 24 months of graduating; exceptional leadership potential; must participate in all trips, educational requirements, and the oral-history project. https://faithandpolitics.org/apply-for-fellowship/",2026-06-03,seed
american-council-of-mellon-acls-dissertation-innov-007,American Council of Learned Societies (ACLS),Mellon/ACLS Dissertation Innovation Fellowships,https://www.acls.org/competitions/mellon-acls-dissertation-innovation-fellowship/,Education,Dissertation Fellowship,Yes,,Nov 1,Verify,,,Funds humanities and social-science doctoral candidates pursuing methodologically innovative dissertation research.,Humanities/interpretive focus,fellowships@acls.org,Humanistic/interpretive focus did not match data-and-metrics methodology,2026-06-03,seed
california-council-o-ccst-science-technology-poli-008,California Council on Science & Technology (CCST),CCST Science & Technology Policy Fellowship,,Public Policy,Professional Fellowships,Yes,12,Verify,Annual,,,One-year placement embedding PhD scientists and engineers in California state policymaking.,PhD (or MS in engineering + 3 yrs exp); 1-yr CA Legislature placement; $45K + benefits,,Bridges data/research and legislative decision-making; parallels Texas Senate analyst + TF-IDF work. Source: CCST via Caltech FASA,2026-06-03,seed
belfer-center-harva-technology-geopolitics-fello-009,"Belfer Center, Harvard Kennedy School (ETSAGP)",Technology & Geopolitics Fellowship,,AI Policy,Research Fellowships,Yes,12,Oct 2,Dec 2,AY 2027-28,,"Year-long Harvard fellowship for doctoral and postdoctoral scholars doing policy-relevant research on the governance of AI, biotech, quantum, and other emerging technologies.",Doctoral dissertation-writing stage (passed generals); recent PhDs,,"Replaces defunct TAPP. Predoc stipend up to ~$70K; in-residence at Harvard; emerging-tech governance incl. AI. Eligibility: doctoral candidates in dissertation-writing stage. 2027-28 cycle: opens Oct 1, closes Dec 1, 2026; rec letters Dec 15. https://www.belfercenter.org/fellowship/technology-and-geopolitics",2026-06-03,seed
